Sr No,date,startup,vertical,city,investors,round,amount
584,2017-06-09,Power2SME,eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000
585,2017-07-09,Credit Vidya,Consumer Internet,Mumbai,Matrix Partners,Private Equity,5000000
586,2017-07-09,Tails Life,Consumer Internet,Bangalore,V Balakrishnan.,Private Equity,0
587,2017-07-09,OYO Rooms,Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000
588,2017-07-09,Early Salary,Consumer Internet,Pune,IFMR Capital,Debt Funding,780000
589,2017-07-09,MamaEarth,eCommerce,Gurgaon,Fireside Ventures,Seed Funding,0
590,2017-07-09,Seniority,eCommerce,Pune,RPG Enterprises,Private Equity,1000000
591,2017-08-09,AYE Finance,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,6900000
592,2017-08-09,Farmizen,Technology,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0
593,2017-11-09,Ecom Express,Logistics,New Delhi,Warburg Pincus,Private Equity,30000000
594,2017-11-09,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000
595,2017-12-09,Sattviko,eCommerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0
596,2017-12-09,3HCare,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,100000
